1433471288.52, [-540, 1004, 4974], [-126, 5, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471288.64, [-536, 1003, 4986], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471288.76, [-536, 1007, 4979], [-125, 3, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471288.88, [-541, 1008, 4967], [-123, 4, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471289.0, [-535, 1005, 4987], [-126, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471289.12, [-536, 1009, 4982], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471289.24, [-534, 1014, 4972], [-126, 4, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471289.38, [-535, 1009, 4977], [-125, 4, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471289.5, [-538, 1008, 4959], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471289.62, [-540, 1015, 4960], [-126, 3, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471289.74, [-546, 1014, 4947], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471289.86, [-562, 1016, 4945], [-126, 4, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471289.98, [-573, 1012, 4960], [-125, 2, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471290.1, [-572, 1001, 4994], [-127, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471290.22, [-547, 998, 4999], [-127, 4, 26], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471290.35, [-527, 1000, 5002], [-126, 5, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471290.47, [-526, 1005, 4993], [-126, 4, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471290.59, [-526, 1011, 4983], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471290.71, [-528, 1007, 4987], [-127, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471290.83, [-529, 1009, 4965], [-125, 4, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471290.95, [-530, 1011, 4983], [-125, 4, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471291.07, [-535, 1008, 4982], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471291.19, [-538, 1012, 4976], [-128, 4, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471291.33, [-531, 1008, 4993], [-126, 5, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471291.45, [-533, 1010, 4974], [-123, -1, 20], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471291.57, [-539, 1004, 4980], [-125, 4, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471291.69, [-532, 1010, 4970], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471291.81, [-538, 1007, 4984], [-127, 12, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471291.93, [-538, 1008, 4980], [-127, 0, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471292.05, [-538, 1005, 4984], [-125, 8, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471292.17, [-538, 1003, 4982], [-125, 6, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471292.29, [-535, 1014, 4991], [-127, 3, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471292.42, [-542, 1005, 4992], [-123, 7, 20], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471292.54, [-538, 1010, 4979], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471292.66, [-537, 1007, 4981], [-127, 2, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471292.78, [-538, 1007, 4977], [-126, 5, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471292.9, [-533, 1006, 4977], [-107, 27, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471293.02, [-533, 1005, 4986], [-126, -5, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471293.14, [-535, 1008, 4972], [-126, 0, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471293.27, [-533, 1009, 4974], [-123, 5, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471293.39, [-537, 1008, 4978], [-126, 4, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471293.52, [-536, 1003, 4978], [-126, 1, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471293.64, [-536, 1007, 4980], [127, 0, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471293.76, [-533, 1001, 4980], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471293.88, [-530, 1000, 4972], [-125, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471294.0, [-532, 1000, 4975], [-126, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471294.12, [-533, 1001, 4982], [-126, 3, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471294.24, [-534, 1004, 4991], [-127, 3, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471294.36, [-533, 1005, 4976], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471294.48, [-537, 1002, 4983], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471294.6, [-535, 1001, 4983], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471294.72, [-535, 1004, 4972], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471294.85, [-535, 1002, 4972], [-125, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471294.97, [-535, 998, 4983], [-125, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471295.09, [-535, 1000, 4982], [-126, 2, 20], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471295.22, [-534, 999, 4981], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471295.34, [-537, 998, 4979], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471295.46, [-536, 1004, 4985], [-125, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471295.58, [-537, 1003, 4985], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471295.7, [-533, 1007, 4976], [-126, 2, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471295.82, [-533, 1002, 4979], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471295.94, [-534, 1005, 4973], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471296.06, [-533, 1006, 4976], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471296.19, [-532, 1002, 4973], [-125, 2, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471296.32, [-528, 1002, 4975], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471296.43, [-530, 1005, 4967], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471296.55, [-539, 1007, 4951], [-125, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471296.67, [-553, 1005, 4960], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471296.79, [-569, 1002, 4967], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471296.91, [-569, 987, 4981], [-125, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471297.03, [-553, 985, 5007], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471297.16, [-531, 991, 4997], [-125, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471297.28, [-525, 999, 4996], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471297.41, [-521, 996, 4984], [-126, 4, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471297.53, [-524, 1003, 4979], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471297.65, [-530, 1004, 4983], [-126, 4, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471297.77, [-529, 1003, 4972], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471297.89, [-534, 1007, 4976], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471298.01, [-536, 1004, 4973], [-126, 1, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471298.13, [-531, 1003, 4969], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471298.25, [-531, 1004, 4965], [-125, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471298.37, [-536, 999, 4979], [-124, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471298.49, [-532, 1006, 4978], [-125, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471298.62, [-534, 1003, 4981], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471298.74, [-531, 1001, 4974], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471298.86, [-533, 1004, 4961], [-126, 4, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471298.98, [-534, 1004, 4978], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471299.11, [-534, 1002, 4977], [-125, 3, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471299.23, [-527, 997, 4976], [-125, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471299.35, [-536, 997, 4956], [-125, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471299.47, [-542, 993, 4983], [-125, 1, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471299.59, [-546, 983, 4958], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471299.71, [-540, 982, 4958], [-127, 3, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471299.83, [-544, 975, 4968], [-125, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471299.96, [-543, 976, 4972], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471300.08, [-544, 983, 4981], [-125, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471300.2, [-543, 988, 4983], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471300.32, [-544, 995, 4979], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471300.44, [-539, 1000, 4986], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471300.56, [-532, 999, 4963], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471300.68, [-529, 998, 4979], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471300.8, [-531, 999, 4985], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471300.92, [-528, 999, 4979], [-126, 4, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471301.05, [-529, 992, 4982], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471301.18, [-529, 992, 4975], [-125, 2, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471301.3, [-521, 990, 4980], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471301.42, [-526, 985, 4979], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471301.54, [-532, 981, 4973], [-126, 4, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471301.66, [-539, 973, 4964], [-125, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471301.78, [-533, 975, 4980], [-125, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471301.9, [-528, 977, 4971], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471302.02, [-534, 983, 4977], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471302.14, [-538, 990, 4954], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471302.27, [-535, 992, 4958], [-125, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471302.39, [-537, -1, 101], [-126, 4, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471302.51, [-540, 1001, 4968], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471302.63, [-536, 1005, 4971], [-126, 2, 26], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471302.75, [-537, 1005, 4985], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471302.87, [-534, 1002, 4974], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471303.0, [-535, 997, 4963], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471303.12, [-534, 1007, 4974], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471303.24, [-536, 1001, 4971], [-127, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471303.36, [-534, 1006, 4977], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471303.49, [-536, 1002, 4967], [-125, 4, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471303.61, [-533, 1005, 4970], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471303.73, [-534, 999, 4965], [-125, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471303.85, [-534, 1006, 4976], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471303.97, [-534, 1004, 4982], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471304.09, [-534, 1005, 4985], [-125, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471304.21, [-535, 1004, 4980], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471304.33, [-533, 1004, 4983], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471304.45, [-530, 1002, 4980], [-126, 4, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471304.58, [-528, 1013, 4983], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471304.7, [-530, 1004, 4983], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471304.82, [-534, 1000, 4979], [-125, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
