timestamp,speed,count,duration
2015-06-05 17:53:44.238008,,1,0:00:20.598840
2015-06-05 17:53:59.333699,20,2,0:00:35.694531
2015-06-05 17:53:59.605678,,3,0:00:35.966510
2015-06-05 17:54:05.640296,16,4,0:00:42.001128
2015-06-05 17:54:05.848338,,5,0:00:42.209170
2015-06-05 17:54:15.815760,10,6,0:00:52.176592
2015-06-05 17:54:20.448175,14,7,0:00:56.809007
2015-06-05 17:54:20.768175,,8,0:00:57.129007
2015-06-05 17:54:21.920279,,9,0:00:58.281111
2015-06-05 17:54:22.775853,,10,0:00:59.136685
2015-06-05 17:54:40.534676,10,11,0:01:16.895508
2015-06-05 17:54:40.806691,,12,0:01:17.167523
2015-06-05 17:54:49.934156,18,13,0:01:26.294988
2015-06-05 17:55:07.262269,14,14,0:01:43.623101
2015-06-05 17:55:24.340618,15,15,0:02:00.701450
2015-06-05 17:55:24.444499,,16,0:02:00.805331
2015-06-05 17:55:26.772442,14,17,0:02:03.133274
2015-06-05 17:55:28.180417,15,18,0:02:04.541249
2015-06-05 17:55:35.352177,26,19,0:02:11.713009
2015-06-05 17:55:51.648119,11,20,0:02:28.008951
2015-06-05 17:56:18.612278,11,21,0:02:54.973110
2015-06-05 17:56:29.518227,11,22,0:03:05.879059
2015-06-05 17:56:38.854788,20,23,0:03:15.215620
2015-06-05 17:56:43.113993,18,24,0:03:19.474825
2015-06-05 17:56:43.322013,,25,0:03:19.682845
2015-06-05 17:56:46.009886,19,26,0:03:22.370718
2015-06-05 17:56:47.505854,17,27,0:03:23.866686
2015-06-05 17:56:49.633862,18,28,0:03:25.994694
2015-06-05 17:56:52.441761,17,29,0:03:28.802593
2015-06-05 17:56:52.625376,,30,0:03:28.986208
2015-06-05 17:56:55.041906,16,31,0:03:31.402738
2015-06-05 17:56:59.593469,14,32,0:03:35.954301
2015-06-05 17:57:01.369398,,33,0:03:37.730230
2015-06-05 17:57:18.549594,16,34,0:03:54.910426
2015-06-05 17:57:29.677163,19,35,0:04:06.037995
2015-06-05 17:57:59.341421,18,36,0:04:35.702253
2015-06-05 17:58:03.141321,19,37,0:04:39.502153
2015-06-05 17:58:11.578483,12,38,0:04:47.939315
2015-06-05 17:58:14.794258,15,39,0:04:51.155090
2015-06-05 17:58:20.961969,13,40,0:04:57.322801
2015-06-05 17:58:22.322333,19,41,0:04:58.683165
