timestamp,speed,count,duration
2015-06-25 17:14:18.641129,1000,1,0:00:54.105126
2015-06-25 17:16:40.434219,2000,2,0:03:15.898216
2015-06-25 17:16:45.906595,2000,3,0:03:21.370592
2015-06-25 17:16:56.913264,,4,0:03:32.377261
2015-06-25 17:17:00.570020,,5,0:03:36.034017
2015-06-25 17:17:03.961616,,6,0:03:39.425613
2015-06-25 17:17:07.265658,,7,0:03:42.729655
2015-06-25 17:17:16.190490,,8,0:03:51.654487
2015-06-25 17:17:52.571232,,9,0:04:28.035229
2015-06-25 17:17:52.891776,,10,0:04:28.355773
2015-06-25 17:17:56.499449,,11,0:04:31.963446
2015-06-25 17:17:58.411560,,12,0:04:33.875557
2015-06-25 17:17:58.819381,,13,0:04:34.283378
2015-06-25 17:18:00.459464,,14,0:04:35.923461
2015-06-25 17:18:00.651244,,15,0:04:36.115241
2015-06-25 17:18:01.827503,,16,0:04:37.291500
2015-06-25 17:18:03.091500,,17,0:04:38.555497
2015-06-25 17:18:05.531278,,18,0:04:40.995275
2015-06-25 17:18:08.290376,,19,0:04:43.754373
2015-06-25 17:18:10.955162,,20,0:04:46.419159
2015-06-25 17:18:16.092165,,21,0:04:51.556162
2015-06-25 17:18:19.259981,,22,0:04:54.723978
2015-06-25 17:18:21.411860,,23,0:04:56.875857
2015-06-25 17:18:29.041090,,24,0:05:04.505087
2015-06-25 17:19:11.609465,,25,0:05:47.073462
2015-06-25 17:19:13.984823,,26,0:05:49.448820
2015-06-25 17:19:14.672872,,27,0:05:50.136869
2015-06-25 17:19:15.720591,,28,0:05:51.184588
2015-06-25 17:19:17.944735,,29,0:05:53.408732
2015-06-25 17:19:21.560849,,30,0:05:57.024846
2015-06-25 17:19:22.192780,,31,0:05:57.656777
2015-06-25 17:19:24.425035,,32,0:05:59.889032
2015-06-25 17:19:24.592931,,33,0:06:00.056928
2015-06-25 17:19:26.656963,,34,0:06:02.120960
2015-06-25 17:19:29.087630,,35,0:06:04.551627
2015-06-25 17:19:31.896427,,36,0:06:07.360424
2015-06-25 17:19:32.696783,,37,0:06:08.160780
2015-06-25 17:19:33.888916,,38,0:06:09.352913
2015-06-25 17:19:35.136712,,39,0:06:10.600709
2015-06-25 17:19:37.711571,,40,0:06:13.175568
2015-06-25 17:19:39.656450,,41,0:06:15.120447
2015-06-25 17:19:40.696602,,42,0:06:16.160599
2015-06-25 17:19:40.888454,,43,0:06:16.352451
2015-06-25 17:19:47.464142,,44,0:06:22.928139
2015-06-25 17:19:52.296571,,45,0:06:27.760568
2015-06-25 17:19:52.552603,,46,0:06:28.016600
2015-06-25 17:19:55.968566,,47,0:06:31.432563
2015-06-25 17:19:59.989975,,48,0:06:35.453972
2015-06-25 17:20:01.750001,,49,0:06:37.213998
2015-06-25 17:20:34.075612,,50,0:07:09.539609
2015-06-25 17:20:39.403306,,51,0:07:14.867303
2015-06-25 17:20:39.578777,,52,0:07:15.042774
2015-06-25 17:20:43.277263,,53,0:07:18.741260
2015-06-25 17:20:44.813604,,54,0:07:20.277601
2015-06-25 17:20:46.565560,,55,0:07:22.029557
2015-06-25 17:20:49.517489,,56,0:07:24.981486
2015-06-25 17:20:49.933615,,57,0:07:25.397612
2015-06-25 17:20:53.299683,,58,0:07:28.763680
2015-06-25 17:20:54.468381,,59,0:07:29.932378
2015-06-25 17:20:55.308167,,60,0:07:30.772164
2015-06-25 17:20:58.100099,,61,0:07:33.564096
2015-06-25 17:20:59.699786,,62,0:07:35.163783
2015-06-25 17:21:02.619823,,63,0:07:38.083820
2015-06-25 17:21:03.132078,,64,0:07:38.596075
2015-06-25 17:21:07.012113,,65,0:07:42.476110
2015-06-25 17:21:09.443992,,66,0:07:44.907989
2015-06-25 17:21:10.195838,,67,0:07:45.659835
2015-06-25 17:21:13.627832,,68,0:07:49.091829
2015-06-25 17:21:28.963994,,69,0:08:04.427991
2015-06-25 17:21:53.901079,,70,0:08:29.365076
2015-06-25 17:21:55.917701,,71,0:08:31.381698
2015-06-25 17:21:56.421674,,72,0:08:31.885671
2015-06-25 17:21:59.117518,,73,0:08:34.581515
2015-06-25 17:22:00.629480,,74,0:08:36.093477
2015-06-25 17:22:03.005334,,75,0:08:38.469331
2015-06-25 17:22:03.933176,,76,0:08:39.397173
2015-06-25 17:22:04.741403,,77,0:08:40.205400
2015-06-25 17:22:07.981328,,78,0:08:43.445325
2015-06-25 17:22:08.309275,,79,0:08:43.773272
2015-06-25 17:22:11.701236,,80,0:08:47.165233
2015-06-25 17:22:13.749173,,81,0:08:49.213170
2015-06-25 17:22:16.868951,,82,0:08:52.332948
2015-06-25 17:22:18.197206,,83,0:08:53.661203
2015-06-25 17:22:20.021096,,84,0:08:55.485093
2015-06-25 17:22:21.445092,,85,0:08:56.909089
2015-06-25 17:22:38.142188,,86,0:09:13.606185
2015-06-25 17:22:44.413914,,87,0:09:19.877911
2015-06-25 17:23:15.377323,,88,0:09:50.841320
2015-06-25 17:23:17.129227,,89,0:09:52.593224
